Estado,Ano,Produto,Area_colhida_ha,Quantidade_produzida_t,Rendimento_medio_kg_ha
Acre,2013,Soja (em grão),57.0,154.0,2702.0
Acre,2014,Soja (em grão),400.0,1095.0,2738.0
Acre,2015,Soja (em grão),,,
Acre,2016,Soja (em grão),100.0,150.0,1500.0
Acre,2017,Soja (em grão),127.0,261.0,2055.0
Acre,2018,Soja (em grão),480.0,1410.0,2938.0
Acre,2019,Soja (em grão),1590.0,5051.0,3177.0
Acre,2020,Soja (em grão),3280.0,10380.0,3165.0
Acre,2021,Soja (em grão),5985.0,20156.0,3368.0
Acre,2022,Soja (em grão),6570.0,22667.0,3450.0
Acre,2023,Soja (em grão),12010.0,45732.0,3808.0
Alagoas,2013,Soja (em grão),,,
Alagoas,2014,Soja (em grão),,,
Alagoas,2015,Soja (em grão),278.0,550.0,1978.0
Alagoas,2016,Soja (em grão),343.0,1043.0,3041.0
Alagoas,2017,Soja (em grão),445.0,1240.0,2787.0
Alagoas,2018,Soja (em grão),1066.0,2475.0,2322.0
Alagoas,2019,Soja (em grão),3141.0,10363.0,3299.0
Alagoas,2020,Soja (em grão),1224.0,4640.0,3791.0
Alagoas,2021,Soja (em grão),3312.0,9391.0,2835.0
Alagoas,2022,Soja (em grão),3416.0,11242.0,3291.0
Alagoas,2023,Soja (em grão),5796.0,18289.0,3155.0
Amapá,2013,Soja (em grão),4528.0,12906.0,2850.0
Amapá,2014,Soja (em grão),15825.0,40792.0,2578.0
Amapá,2015,Soja (em grão),11125.0,29370.0,2640.0
Amapá,2016,Soja (em grão),14860.0,42351.0,2850.0
Amapá,2017,Soja (em grão),18900.0,54400.0,2878.0
Amapá,2018,Soja (em grão),18378.0,57239.0,3115.0
Amapá,2019,Soja (em grão),18493.0,46862.0,2534.0
Amapá,2020,Soja (em grão),20050.0,47818.0,2385.0
Amapá,2021,Soja (em grão),6700.0,17956.0,2680.0
Amapá,2022,Soja (em grão),6500.0,18035.0,2775.0
Amapá,2023,Soja (em grão),7350.0,19536.0,2658.0
Amazonas,2013,Soja (em grão),20.0,60.0,3000.0
Amazonas,2014,Soja (em grão),,,
Amazonas,2015,Soja (em grão),,,
Amazonas,2016,Soja (em grão),,,
Amazonas,2017,Soja (em grão),,,
Amazonas,2018,Soja (em grão),,,
Amazonas,2019,Soja (em grão),2500.0,7500.0,3000.0
Amazonas,2020,Soja (em grão),2700.0,8000.0,2963.0
Amazonas,2021,Soja (em grão),3000.0,10000.0,3333.0
Amazonas,2022,Soja (em grão),5900.0,13740.0,2329.0
Amazonas,2023,Soja (em grão),8237.0,23455.0,2848.0
Bahia,2013,Soja (em grão),1211267.0,2765533.0,2283.0
Bahia,2014,Soja (em grão),1276369.0,3206364.0,2512.0
Bahia,2015,Soja (em grão),1440113.0,4513633.0,3134.0
Bahia,2016,Soja (em grão),1536678.0,3257119.0,2120.0
Bahia,2017,Soja (em grão),1583864.0,5143899.0,3248.0
Bahia,2018,Soja (em grão),1603203.0,6310780.0,3936.0
Bahia,2019,Soja (em grão),1585842.0,5329694.0,3361.0
Bahia,2020,Soja (em grão),1622475.0,6078010.0,3746.0
Bahia,2021,Soja (em grão),1699965.0,6839555.0,4023.0
Bahia,2022,Soja (em grão),1774655.0,6958197.0,3921.0
Bahia,2023,Soja (em grão),1923627.0,7776560.0,4043.0
Ceará,2013,Soja (em grão),,,
Ceará,2014,Soja (em grão),,,
Ceará,2015,Soja (em grão),,,
Ceará,2016,Soja (em grão),,,
Ceará,2017,Soja (em grão),,,
Ceará,2018,Soja (em grão),80.0,190.0,2375.0
Ceará,2019,Soja (em grão),,,
Ceará,2020,Soja (em grão),450.0,1350.0,3000.0
Ceará,2021,Soja (em grão),1414.0,4528.0,3202.0
Ceará,2022,Soja (em grão),2220.0,7740.0,3486.0
Ceará,2023,Soja (em grão),4944.0,19113.0,3866.0
Distrito Federal,2013,Soja (em grão),52500.0,152250.0,2900.0
Distrito Federal,2014,Soja (em grão),72000.0,216000.0,3000.0
Distrito Federal,2015,Soja (em grão),68862.0,180832.0,2626.0
Distrito Federal,2016,Soja (em grão),70875.0,233888.0,3300.0
Distrito Federal,2017,Soja (em grão),70000.0,241500.0,3450.0
Distrito Federal,2018,Soja (em grão),71500.0,253110.0,3540.0
Distrito Federal,2019,Soja (em grão),75000.0,261000.0,3480.0
Distrito Federal,2020,Soja (em grão),74500.0,290550.0,3900.0
Distrito Federal,2021,Soja (em grão),80000.0,312000.0,3900.0
Distrito Federal,2022,Soja (em grão),84200.0,303120.0,3600.0
Distrito Federal,2023,Soja (em grão),85000.0,306000.0,3600.0
Espírito Santo,2013,Soja (em grão),,,
Espírito Santo,2014,Soja (em grão),,,
Espírito Santo,2015,Soja (em grão),,,
Espírito Santo,2016,Soja (em grão),,,
Espírito Santo,2017,Soja (em grão),,,
Espírito Santo,2018,Soja (em grão),,,
Espírito Santo,2019,Soja (em grão),,,
Espírito Santo,2020,Soja (em grão),,,
Espírito Santo,2021,Soja (em grão),,,
Espírito Santo,2022,Soja (em grão),80.0,200.0,2500.0
Espírito Santo,2023,Soja (em grão),1000.0,3780.0,3780.0
Fonte: IBGE - Produção Agrícola Municipal,2013,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2014,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2015,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2016,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2017,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2018,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2019,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2020,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2021,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2022,Soja (em grão),,,
Fonte: IBGE - Produção Agrícola Municipal,2023,Soja (em grão),,,
Goiás,2013,Soja (em grão),2947887.0,8913069.0,3024.0
Goiás,2014,Soja (em grão),3176995.0,8938560.0,2814.0
Goiás,2015,Soja (em grão),3260025.0,8606210.0,2640.0
Goiás,2016,Soja (em grão),3310548.0,10239473.0,3093.0
Goiás,2017,Soja (em grão),3331608.0,11372539.0,3414.0
Goiás,2018,Soja (em grão),3314668.0,11476946.0,3462.0
Goiás,2019,Soja (em grão),3400555.0,11080442.0,3258.0
Goiás,2020,Soja (em grão),3577700.0,12849800.0,3592.0
Goiás,2021,Soja (em grão),3857007.0,13659826.0,3542.0
Goiás,2022,Soja (em grão),4121969.0,15216144.0,3691.0
Goiás,2023,Soja (em grão),4590730.0,17405060.0,3791.0
Guanabara,2013,Soja (em grão),,,
Guanabara,2014,Soja (em grão),,,
Guanabara,2015,Soja (em grão),,,
Guanabara,2016,Soja (em grão),,,
Guanabara,2017,Soja (em grão),,,
Guanabara,2018,Soja (em grão),,,
Guanabara,2019,Soja (em grão),,,
Guanabara,2020,Soja (em grão),,,
Guanabara,2021,Soja (em grão),,,
Guanabara,2022,Soja (em grão),,,
Guanabara,2023,Soja (em grão),,,
Maranhão,2013,Soja (em grão),563366.0,1581687.0,2808.0
Maranhão,2014,Soja (em grão),677540.0,1875792.0,2769.0
Maranhão,2015,Soja (em grão),761225.0,2099507.0,2758.0
Maranhão,2016,Soja (em grão),783604.0,1242772.0,1586.0
Maranhão,2017,Soja (em grão),817719.0,2331688.0,2851.0
Maranhão,2018,Soja (em grão),926656.0,2751206.0,2969.0
Maranhão,2019,Soja (em grão),977598.0,2850084.0,2915.0
Maranhão,2020,Soja (em grão),960900.0,3056550.0,3181.0
Maranhão,2021,Soja (em grão),1023541.0,3240985.0,3166.0
Maranhão,2022,Soja (em grão),1099871.0,3537377.0,3216.0
Maranhão,2023,Soja (em grão),1190047.0,3821792.0,3211.0
Mato Grosso,2013,Soja (em grão),7913687.0,23416774.0,2959.0
Mato Grosso,2014,Soja (em grão),8613593.0,26495884.0,3076.0
Mato Grosso,2015,Soja (em grão),8966679.0,27850954.0,3106.0
Mato Grosso,2016,Soja (em grão),9102722.0,26277303.0,2887.0
Mato Grosso,2017,Soja (em grão),9264356.0,30479870.0,3290.0
Mato Grosso,2018,Soja (em grão),9437849.0,31608562.0,3349.0
Mato Grosso,2019,Soja (em grão),9724149.0,32242463.0,3316.0
Mato Grosso,2020,Soja (em grão),9989649.0,35070044.0,3511.0
Mato Grosso,2021,Soja (em grão),10450212.0,35336979.0,3381.0
Mato Grosso,2022,Soja (em grão),10924622.0,38025387.0,3481.0
Mato Grosso,2023,Soja (em grão),11981285.0,44425783.0,3708.0
Mato Grosso do Sul,2013,Soja (em grão),1986894.0,5780519.0,2909.0
Mato Grosso do Sul,2014,Soja (em grão),2157824.0,6339386.0,2938.0
Mato Grosso do Sul,2015,Soja (em grão),2350817.0,7305608.0,3108.0
Mato Grosso do Sul,2016,Soja (em grão),2413322.0,7389990.0,3062.0
Mato Grosso do Sul,2017,Soja (em grão),2620622.0,9101890.0,3473.0
Mato Grosso do Sul,2018,Soja (em grão),2713062.0,9869382.0,3638.0
Mato Grosso do Sul,2019,Soja (em grão),2881577.0,8698011.0,3018.0
Mato Grosso do Sul,2020,Soja (em grão),3121490.0,10939032.0,3504.0
Mato Grosso do Sul,2021,Soja (em grão),3375260.0,12226648.0,3622.0
Mato Grosso do Sul,2022,Soja (em grão),3653429.0,8538611.0,2337.0
Mato Grosso do Sul,2023,Soja (em grão),3884468.0,14193250.0,3654.0
Minas Gerais,2013,Soja (em grão),1151010.0,3375690.0,2933.0
Minas Gerais,2014,Soja (em grão),1236695.0,3345549.0,2705.0
Minas Gerais,2015,Soja (em grão),1327581.0,3524055.0,2654.0
Minas Gerais,2016,Soja (em grão),1458914.0,4747494.0,3254.0
Minas Gerais,2017,Soja (em grão),1533592.0,5318554.0,3468.0
Minas Gerais,2018,Soja (em grão),1509510.0,5438116.0,3603.0
Minas Gerais,2019,Soja (em grão),1620786.0,5189781.0,3202.0
Minas Gerais,2020,Soja (em grão),1695672.0,6218740.0,3667.0
Minas Gerais,2021,Soja (em grão),1935060.0,6984227.0,3609.0
Minas Gerais,2022,Soja (em grão),2022682.0,7639648.0,3777.0
Minas Gerais,2023,Soja (em grão),2214362.0,8459161.0,3820.0
Paraná,2013,Soja (em grão),4761733.0,15937620.0,3347.0
Paraná,2014,Soja (em grão),5011004.0,14913173.0,2976.0
Paraná,2015,Soja (em grão),5240402.0,17229378.0,3288.0
Paraná,2016,Soja (em grão),5450788.0,17122294.0,3141.0
Paraná,2017,Soja (em grão),5236903.0,19181853.0,3663.0
Paraná,2018,Soja (em grão),5377897.0,19035720.0,3540.0
Paraná,2019,Soja (em grão),5406477.0,16348364.0,3024.0
Paraná,2020,Soja (em grão),5534843.0,20875792.0,3772.0
Paraná,2021,Soja (em grão),5518476.0,19205802.0,3480.0
Paraná,2022,Soja (em grão),5652609.0,13454457.0,2380.0
Paraná,2023,Soja (em grão),5760969.0,21553541.0,3741.0
Paraíba,2013,Soja (em grão),,,
Paraíba,2014,Soja (em grão),175.0,420.0,2400.0
Paraíba,2015,Soja (em grão),,,
Paraíba,2016,Soja (em grão),,,
Paraíba,2017,Soja (em grão),,,
Paraíba,2018,Soja (em grão),,,
Paraíba,2019,Soja (em grão),,,
Paraíba,2020,Soja (em grão),,,
Paraíba,2021,Soja (em grão),,,
Paraíba,2022,Soja (em grão),37.0,56.0,1514.0
Paraíba,2023,Soja (em grão),,,
Pará,2013,Soja (em grão),189746.0,506347.0,2669.0
Pará,2014,Soja (em grão),242971.0,736947.0,3033.0
Pará,2015,Soja (em grão),337056.0,1022677.0,3034.0
Pará,2016,Soja (em grão),433813.0,1304598.0,3007.0
Pará,2017,Soja (em grão),500385.0,1632115.0,3262.0
Pará,2018,Soja (em grão),557532.0,1638469.0,2939.0
Pará,2019,Soja (em grão),577764.0,1781672.0,3084.0
Pará,2020,Soja (em grão),643267.0,1990794.0,3095.0
Pará,2021,Soja (em grão),753781.0,2232499.0,2962.0
Pará,2022,Soja (em grão),839560.0,2574954.0,3067.0
Pará,2023,Soja (em grão),1007539.0,3156487.0,3133.0
Pernambuco,2013,Soja (em grão),,,
Pernambuco,2014,Soja (em grão),,,
Pernambuco,2015,Soja (em grão),,,
Pernambuco,2016,Soja (em grão),,,
Pernambuco,2017,Soja (em grão),,,
Pernambuco,2018,Soja (em grão),,,
Pernambuco,2019,Soja (em grão),,,
Pernambuco,2020,Soja (em grão),,,
Pernambuco,2021,Soja (em grão),300.0,600.0,2000.0
Pernambuco,2022,Soja (em grão),,,
Pernambuco,2023,Soja (em grão),100.0,400.0,4000.0
Piauí,2013,Soja (em grão),533114.0,920950.0,1727.0
Piauí,2014,Soja (em grão),626799.0,1488646.0,2375.0
Piauí,2015,Soja (em grão),666718.0,1772722.0,2659.0
Piauí,2016,Soja (em grão),561715.0,644263.0,1147.0
Piauí,2017,Soja (em grão),694947.0,2020195.0,2907.0
Piauí,2018,Soja (em grão),711123.0,2469650.0,3473.0
Piauí,2019,Soja (em grão),765944.0,2325951.0,3037.0
Piauí,2020,Soja (em grão),757678.0,2447620.0,3230.0
Piauí,2021,Soja (em grão),832063.0,2713998.0,3262.0
Piauí,2022,Soja (em grão),872906.0,3077485.0,3526.0
Piauí,2023,Soja (em grão),945551.0,3389142.0,3584.0
Rio Grande do Norte,2013,Soja (em grão),,,
Rio Grande do Norte,2014,Soja (em grão),,,
Rio Grande do Norte,2015,Soja (em grão),,,
Rio Grande do Norte,2016,Soja (em grão),,,
Rio Grande do Norte,2017,Soja (em grão),,,
Rio Grande do Norte,2018,Soja (em grão),,,
Rio Grande do Norte,2019,Soja (em grão),,,
Rio Grande do Norte,2020,Soja (em grão),,,
Rio Grande do Norte,2021,Soja (em grão),,,
Rio Grande do Norte,2022,Soja (em grão),,,
Rio Grande do Norte,2023,Soja (em grão),,,
Rio Grande do Sul,2013,Soja (em grão),4727821.0,12756577.0,2698.0
Rio Grande do Sul,2014,Soja (em grão),4986542.0,13041720.0,2615.0
Rio Grande do Sul,2015,Soja (em grão),5262520.0,15700264.0,2983.0
Rio Grande do Sul,2016,Soja (em grão),5436653.0,16209892.0,2982.0
Rio Grande do Sul,2017,Soja (em grão),5537028.0,18744186.0,3385.0
Rio Grande do Sul,2018,Soja (em grão),5651100.0,17538725.0,3104.0
Rio Grande do Sul,2019,Soja (em grão),5818915.0,18498119.0,3179.0
Rio Grande do Sul,2020,Soja (em grão),5983169.0,11307760.0,1890.0
Rio Grande do Sul,2021,Soja (em grão),6107558.0,20420501.0,3343.0
Rio Grande do Sul,2022,Soja (em grão),6215638.0,9370339.0,1508.0
Rio Grande do Sul,2023,Soja (em grão),6638890.0,12693487.0,1912.0
Rio de Janeiro,2013,Soja (em grão),,,
Rio de Janeiro,2014,Soja (em grão),,,
Rio de Janeiro,2015,Soja (em grão),,,
Rio de Janeiro,2016,Soja (em grão),,,
Rio de Janeiro,2017,Soja (em grão),,,
Rio de Janeiro,2018,Soja (em grão),,,
Rio de Janeiro,2019,Soja (em grão),,,
Rio de Janeiro,2020,Soja (em grão),,,
Rio de Janeiro,2021,Soja (em grão),77.0,324.0,4208.0
Rio de Janeiro,2022,Soja (em grão),242.0,953.0,3938.0
Rio de Janeiro,2023,Soja (em grão),756.0,2577.0,3409.0
Rondônia,2013,Soja (em grão),179877.0,574900.0,3196.0
Rondônia,2014,Soja (em grão),191970.0,614678.0,3202.0
Rondônia,2015,Soja (em grão),233605.0,748429.0,3204.0
Rondônia,2016,Soja (em grão),246171.0,759928.0,3087.0
Rondônia,2017,Soja (em grão),280103.0,913454.0,3261.0
Rondônia,2018,Soja (em grão),300816.0,1000311.0,3325.0
Rondônia,2019,Soja (em grão),344551.0,1190195.0,3454.0
Rondônia,2020,Soja (em grão),392642.0,1348724.0,3435.0
Rondônia,2021,Soja (em grão),400459.0,1352087.0,3376.0
Rondônia,2022,Soja (em grão),489526.0,1750249.0,3575.0
Rondônia,2023,Soja (em grão),589263.0,2131535.0,3617.0
Roraima,2013,Soja (em grão),14900.0,40200.0,2698.0
Roraima,2014,Soja (em grão),16000.0,33950.0,2122.0
Roraima,2015,Soja (em grão),23820.0,55795.0,2342.0
Roraima,2016,Soja (em grão),24035.0,67347.0,2802.0
Roraima,2017,Soja (em grão),18725.0,45077.0,2407.0
Roraima,2018,Soja (em grão),37670.0,105780.0,2808.0
Roraima,2019,Soja (em grão),39930.0,110090.0,2757.0
Roraima,2020,Soja (em grão),49800.0,139550.0,2802.0
Roraima,2021,Soja (em grão),71178.0,225398.0,3167.0
Roraima,2022,Soja (em grão),102785.0,346647.0,3373.0
Roraima,2023,Soja (em grão),128197.0,445076.0,3472.0
Santa Catarina,2013,Soja (em grão),521271.0,1586351.0,3043.0
Santa Catarina,2014,Soja (em grão),560098.0,1668235.0,2978.0
Santa Catarina,2015,Soja (em grão),608483.0,2000323.0,3287.0
Santa Catarina,2016,Soja (em grão),660761.0,2139611.0,3238.0
Santa Catarina,2017,Soja (em grão),661855.0,2447350.0,3698.0
Santa Catarina,2018,Soja (em grão),673700.0,2338046.0,3470.0
Santa Catarina,2019,Soja (em grão),665015.0,2270512.0,3414.0
Santa Catarina,2020,Soja (em grão),664795.0,2243989.0,3375.0
Santa Catarina,2021,Soja (em grão),688972.0,2323735.0,3373.0
Santa Catarina,2022,Soja (em grão),752930.0,2159405.0,2868.0
Santa Catarina,2023,Soja (em grão),775673.0,2951678.0,3805.0
Sergipe,2013,Soja (em grão),,,
Sergipe,2014,Soja (em grão),,,
Sergipe,2015,Soja (em grão),,,
Sergipe,2016,Soja (em grão),,,
Sergipe,2017,Soja (em grão),,,
Sergipe,2018,Soja (em grão),,,
Sergipe,2019,Soja (em grão),,,
Sergipe,2020,Soja (em grão),,,
Sergipe,2021,Soja (em grão),,,
Sergipe,2022,Soja (em grão),,,
Sergipe,2023,Soja (em grão),,,
São Paulo,2013,Soja (em grão),610452.0,1844951.0,3022.0
São Paulo,2014,Soja (em grão),692589.0,1709229.0,2468.0
São Paulo,2015,Soja (em grão),791903.0,2406262.0,3039.0
São Paulo,2016,Soja (em grão),848782.0,2792796.0,3290.0
São Paulo,2017,Soja (em grão),946540.0,3291823.0,3478.0
São Paulo,2018,Soja (em grão),973064.0,3410297.0,3505.0
São Paulo,2019,Soja (em grão),1080336.0,3455497.0,3199.0
São Paulo,2020,Soja (em grão),1132955.0,3887567.0,3431.0
São Paulo,2021,Soja (em grão),1199351.0,4184832.0,3489.0
São Paulo,2022,Soja (em grão),1252070.0,4478064.0,3577.0
São Paulo,2023,Soja (em grão),1360285.0,4962226.0,3648.0
Tocantins,2013,Soja (em grão),536545.0,1557939.0,2904.0
Tocantins,2014,Soja (em grão),718374.0,2094100.0,2915.0
Tocantins,2015,Soja (em grão),830031.0,2418367.0,2914.0
Tocantins,2016,Soja (em grão),828435.0,1922508.0,2321.0
Tocantins,2017,Soja (em grão),842160.0,2410207.0,2862.0
Tocantins,2018,Soja (em grão),898582.0,2606036.0,2900.0
Tocantins,2019,Soja (em grão),905044.0,2615178.0,2890.0
Tocantins,2020,Soja (em grão),962399.0,3004239.0,3122.0
Tocantins,2021,Soja (em grão),1112598.0,3477152.0,3125.0
Tocantins,2022,Soja (em grão),1166489.0,3785386.0,3245.0
Tocantins,2023,Soja (em grão),1331473.0,4340578.0,3260.0
